,0,1,2
0,Sun Aug 22 18:44:48 2021,buy,-
,datetime,buy/sell,profit
0,2020-01-04 08:00:00,buy,-
1,2020-01-09 23:00:00,sell,106.64811837873081
2,2020-01-11 19:00:00,buy,-
3,2020-01-13 10:00:00,sell,106.35009216400624
4,2020-01-14 10:00:00,buy,-
5,2020-01-19 23:00:00,sell,108.91367009247348
6,2020-01-22 15:00:00,buy,-
7,2020-01-23 10:00:00,sell,106.44833744412715
8,2020-01-26 20:00:00,buy,-
9,2020-01-31 20:00:00,sell,116.03613328283954
10,2020-02-01 04:00:00,buy,-
11,2020-02-03 22:00:00,sell,114.8315145541363
12,2020-02-05 23:00:00,buy,-
13,2020-02-11 17:00:00,sell,122.871120718317
14,2020-02-12 03:00:00,buy,-
15,2020-02-14 05:00:00,sell,122.56091992538984
16,2020-02-19 05:00:00,buy,-
17,2020-02-20 18:00:00,sell,116.01205545606761
18,2020-02-23 01:00:00,buy,-
19,2020-02-25 14:00:00,sell,114.85775441259013
20,2020-03-02 19:00:00,buy,-
21,2020-03-05 13:00:00,sell,117.53553439742059
22,2020-03-05 14:00:00,buy,-
23,2020-03-08 09:00:00,sell,113.90109428794223
24,2020-03-19 03:00:00,buy,-
25,2020-03-22 06:00:00,sell,138.05286429225706
26,2020-03-24 04:00:00,buy,-
27,2020-03-26 19:00:00,sell,143.408054037483
28,2020-03-31 03:00:00,buy,-
29,2020-04-01 22:00:00,sell,146.87106456518615
30,2020-04-02 02:00:00,buy,-
31,2020-04-04 19:00:00,sell,150.98638871231245
32,2020-04-04 22:00:00,buy,-
33,2020-04-05 06:00:00,sell,149.89571640595463
34,2020-04-06 14:00:00,buy,-
35,2020-04-09 18:00:00,sell,154.0153160749894
36,2020-04-13 04:00:00,buy,-
37,2020-04-13 13:00:00,sell,154.89392832960638
38,2020-04-16 02:00:00,buy,-
39,2020-04-21 02:00:00,sell,160.61891605388413
40,2020-04-23 10:00:00,buy,-
41,2020-04-26 09:00:00,sell,172.7275860528462
42,2020-04-26 22:00:00,buy,-
43,2020-05-02 19:00:00,sell,201.5120374994448
44,2020-05-03 12:00:00,buy,-
45,2020-05-04 11:00:00,sell,195.63684769329166
46,2020-05-06 08:00:00,buy,-
47,2020-05-10 10:00:00,sell,191.21892314468684
48,2020-05-13 01:00:00,buy,-
49,2020-05-16 21:00:00,sell,201.47436674560842
